report_id,well_id,report_date,depth_m,formation,mud_weight_ppg,npt_hours,primary_hazard,max_severity,volume_lost_bbl,mitigation_action,activity_summary
DDR-001,WELL-15/9-F-11,2014-04-12,2450.0,Hordaland Group,12.08,7.5,mud_loss,medium,45.0,Pumped high-viscosity LCM pill and waited on setting,"00:00 - 06:00: Drilled 12-1/4 inch hole from 2410m to 2450m. WOB: 12-15 tons, RPM: 120, Flow rate: 2800 l/min."
DDR-002,WELL-15/9-F-12,2014-05-18,3120.0,Smith Bank Formation,13.49,13.75,stuck_pipe,critical,0.0,Jarred string and pumped acid/lubricant soak pill to free pipe,00:00 - 04:00: Wiper trip prior to casing run. Pulling 8-1/2 inch BHA at 3120m.
DDR-003,WELL-15/9-F-14,2014-06-02,1850.0,Utsira Formation,10.16,9.0,kick,critical,0.0,Shut in well using BOP and executed Driller's Method to circulate out kick with weighted mud,00:00 - 12:00: Drilled 17-1/2 inch surface hole from 1620m to 1850m smoothly. ROP averaged 35 m/hr.
DDR-004,WELL-15/9-F-15,2014-07-10,2780.0,Shetland Group,12.5,4.5,tight_hole,medium,0.0,Reamed tight section and pumped high-density sweep pills,"00:00 - 08:00: Drilled 12-1/4 inch section from 2710m to 2780m. Constant torque fluctuations observed (18,000 to 26,000 ft-lbs)."
DDR-005,WELL-15/9-F-1,2014-08-01,3450.0,Statfjord Formation,13.99,0.0,none,none,0.0,Routine drilling operation,"00:00 - 14:00: Normal 8-1/2 inch reservoir section drilling from 3400m to 3450m. ROP 12 m/hr. Torque steady at 14,000 ft-lbs."
DDR-006,WELL-15/9-F-11,2014-09-05,2910.0,Draupne Formation,13.16,2.0,mud_loss,low,20.0,Reduced pump SPM to lower ECD and added fine nut plug,00:00 - 05:00: Drilled 8-1/2 inch section from 2880m to 2910m. High ECD (Equivalent Circulating Density) reached 1.65 SG.
DDR-007,WELL-15/9-F-7,2014-10-14,2150.0,Hordaland Group,11.5,7.0,stuck_pipe,critical,0.0,Spotted pipe-freeing lubricant pill and worked string,00:00 - 08:00: Drilling 12-1/4 inch hole at 2150m. High differential pressure observed across permeable sand.
DDR-008,WELL-15/9-F-12,2014-11-20,3380.0,Lyr Formation,13.74,10.0,none,none,0.0,Routine drilling operation,00:00 - 10:00: Drilled 8-1/2 inch hole from 3340m to 3380m. ROP 4 m/hr in hard limestone formation.
DDR-009,WELL-15/9-F-14,2014-12-04,2620.0,Lista Formation,12.33,1.5,tight_hole,medium,0.0,Reamed tight section and pumped high-density sweep pills,00:00 - 07:00: Running 9-5/8 inch casing to 2615m. Casing tight at 2580m.
DDR-010,WELL-15/9-F-15,2015-01-15,3510.0,Skagerrak Formation,14.16,0.0,none,none,0.0,Routine drilling operation,00:00 - 12:00: Drilled 6 inch production section from 3480m to 3510m TD (Total Depth).
